AWARD_ID,AWARD_NAME
1,ALL_STAR
2,"All-Rookie 1st_Team"
3,"All-Rookie 2nd_Team"
4,All_Defensive 1st_Team
5,All_Defensive 2nd_Team
6,All_NBA 1st_Team
7,All_NBA 2nd_Team
8,All_NBA 3rd_Team
9,Rookies of the November
10,Rookies of the December
11,Rookies of the January
12,Rookies of the February
13,Rookies of the March
14,Rookies of the April
15,Player of the November
16,Player of the December
17,Player of the January
18,Player of the February
19,Player of the March
20,Player of the April
21,Player of the Week1
22,Player of the Week2
23,Player of the Week3
24,Player of the Week4
25,Player of the Week5
26,Player of the Week6
27,Player of the Week7
28,Player of the Week8
29,Player of the Week9
30,Player of the Week10
31,Player of the Week11
32,Player of the Week12
33,Player of the Week13
34,Player of the Week14
35,Player of the Week15
36,Player of the Week16
37,Player of the Week17
38,Player of the Week18
39,Player of the Week19
40,Player of the Week20
41,Player of the Week21
42,Player of the Week22
43,Most Valuable Player
44,Defensive Player of the Year
45,Rookie of the Year
46,Sixth Man of the Year
47,Most Improved Player
48,NBA Sportsmanship Award
49,Community Assist Award